what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1317081164284
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.v20110505-0800,"org.eclipse.ltk.core.refactoring",1317081164293
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1317081164305
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.core",1317081164310
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1317081164318
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1317081164327
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1317081164327
started,bundle,org.eclipse.mylyn.commons.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.ui",1317081164382
started,bundle,org.eclipse.mylyn.context.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.core",1317081164392
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1317081164407
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1317081164415
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1317081164432
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1317081164445
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1317081164450
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1317081164452
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1317081164462
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1317081164466
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1317081164476
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1317081164484
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1317081164494
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1317081164512
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1317081164525
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1317081164525
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1317081164537
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1317081164557
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1317081164566
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1317081164571
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1317081164594
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1317081164603
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1317081164613
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1317081164621
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1317081164627
os,sysinfo,,,"macosx",1317081164630
arch,sysinfo,,,"x86_64",1317081164630
ws,sysinfo,,,"cocoa",1317081164630
locale,sysinfo,,,"en_US",1317081164630
processors,sysinfo,,,"8",1317081164630
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1317081164630
java.runtime.version,sysinfo,,,"1.6.0_24-b07-334",1317081164630
java.specification.name,sysinfo,,,"Java Platform API Specification",1317081164630
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1317081164630
java.specification.version,sysinfo,,,"1.6",1317081164630
java.vendor,sysinfo,,,"Apple Inc.",1317081164630
java.version,sysinfo,,,"1.6.0_24",1317081164630
java.vm.info,sysinfo,,,"mixed mode",1317081164630
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1317081164630
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1317081164630
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1317081164630
java.vm.specification.version,sysinfo,,,"1.0",1317081164630
java.vm.vendor,sysinfo,,,"Apple Inc.",1317081164630
java.vm.version,sysinfo,,,"19.1-b02-334",1317081164630
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20110520-1406,"org.eclipse.emf.ecore.xmi",1317081164702
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1317081164722
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1317081164892
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1317081164913
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1317081164935
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.300.v201011231608,"org.eclipse.jst.ws.jaxrs.core",1317081164949
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1317081165660
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1317081168271
